2471-2566,ACM TRANSACTIONS ON PRIVACY AND SECURITY B4
1049-331X,ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY A2
1559-1131,ACM TRANSACTIONS ON THE WEB A2
2576-6422,ACS APPLIED BIO MATERIALS B3
2574-0962,ACS APPLIED ENERGY MATERIALS B4
1944-8252,ACS APPLIED MATERIALS & INTERFACES (ONLINE) A1
4283-4293,ACS APPLIED NANO MATERIALS B4
2373-9878,ACS BIOMATERIALS SCIENCE & ENGINNERING A2
2155-5435,ACS CATALYSIS A1
2374-7951,ACS CENTRAL SCIENCE (ONLINE) A1
1554-8929,ACS CHEMICAL BIOLOGY A1
1554-8937,ACS CHEMICAL BIOLOGY A1
1948-7193,ACS CHEMICAL NEUROSCIENCE A1
2156-8952,ACS COMBINATORIAL SCIENCE A2
2472-3452,ACS EARTH AND SPACE CHEMISTRY B4
2373-8227,ACS INFECTIOUS DISEASES A1
2161-1653,ACS MACRO LETTERS A1
1948-5875,ACS MED CHEM LETT A2
1936-0851,ACS NANO A1
2470-1343,ACS OMEGA A3
2330-4022,ACS PHOTONICS A2
2379-3694,ACS SENSORS A1
2168-0485,ACS SUSTAINABLE CHEMISTRY & ENGINEERING A1
2161-5063,ACS SYNTHETIC BIOLOGY A1
0906-4710,"ACTA AGRICULTURAE SCANDINAVICA. SECTION B, SOIL AND PLANT SCIENCAE4"
0120-2812,ACTA AGRONOMICA B4
1809-4392,ACTA AMAZONICA B1
1677-7298,ACTA AMBIENTAL CATARINENSE B1
0001-5172,ACTA ANAESTHESIOLOGICA SCANDINAVICA A3
0353-5150,ACTA ANALYTICA A4
1234-950X,ACTA ANGIOLOGICA B4
2358-2375,ACTA APICOLA BRASILICA B3
0167-8019,ACTA APPLICANDAE MATHEMATICAE B1
0001-5202,ACTA ARACHNOLOGICA B4
0065-101X,ACTA ARCHAEOLOGICA (PAPIRFORM) B1
0094-5765,ACTA ASTRONAUTICA A1
0001-5237,ACTA ASTRONOMICA A1
1672-9145,ACTA BIOCHIMICA ET BIOPHYSICA SINICA A4
1726-569X,ACTA BIOETHICA (EN LÍNEA) B4
0120-548X,ACTA BIOLOGICA COLOMBIANA B1
1742-7061,ACTA BIOMATERIALIA A1
2236-0867,ACTA BIOMEDICA BRASILIENSIA B1
0325-2957,ACTA BIOQUÍMICA CLÍNICA LATINOAMERICANA B4
0001-5342,ACTA BIOTHEORETICA A2
1677-941X,ACTA BOTANICA BRASILICA B1
2526-4338,ACTA BRASILIENSIS B1
2526-432X,ACTA BRASILIENSIS B1
0001-5385,ACTA CARDIOLOGICA (IMPRIMÉ) B2
0583-6050,ACTA CARSOLOGICA B1
1210-2709,ACTA POLYTECHNICA,B1
1785-8860,ACTA POLYTECHNICA HUNGARICA,B1
0065-1583,ACTA PROTOZOOLOGICA (DRUK),A3
0001-6896,ACTA PSIQUIÁTRICA Y PSICOLÓGICA DE AMÉRICA LATINA,A2
0001-690X,ACTA PSYCHIATRICA SCANDINAVICA,A2
0001-6918,ACTA PSYCHOLOGICA,A3
2469-6676,ACTA PSYCHOPATHOLOGICA,B4
0284-1851,ACTA RADIOLOGICA (1987),A4
0303-464X,ACTA REUMATOLÓGICA PORTUGUESA,B3
2317-8957,ACTA SCIENTIAE ET TECHNICAE,B3
1679-9216,ACTA SCIENTIAE VETERINARIAE (ONLINE),B1
1678-0345,ACTA SCIENTIAE VETERINARIAE (UFRGS. IMPRESSO),B1
1644-0730,ACTA SCIENTIARUM POLONORUM TECHNOLOGIA ALIMENTARIA,A4
1679-9275,ACTA SCIENTIARUM. AGRONOMY (IMPRESSO),A4
1806-2636,ACTA SCIENTIARUM. ANIMAL SCIENCES,B2
1807-863X,ACTA SCIENTIARUM. BIOLOGICAL SCIENCES (ONLINE),B1
2178-5201,ACTA SCIENTIARUM. EDUCATION (ONLINE),A2
1679-9291,ACTA SCIENTIARUM. HEALTH SCIENCES (IMPRESSO),B2
1679-7361,ACTA SCIENTIARUM. HUMAN AND SOCIAL SCIENCES (IMPRESSO),B4
1983-4675,ACTA SCIENTIARUM. LANGUAGE AND CULTURE (IMPRESSO),B1
1806-2563,ACTA SCIENTIARUM. TECHNOLOGY (IMPRESSO),B2
0102-4264,ACTA SEMIÓTICA ET LINGUÍSTICA,B3
0186-6028,ACTA SOCIOLOGICA,A1
0001-6993,ACTA SOCIOLOGICA (TRYKT UTG.),A2
0001-7019,ACTA STOMATOLOGICA CROATICA,B3
1982-422X,ACTA TECNOLÓGICA,B3
0327-9286,ACTA TOXICOLÓGICA ARGENTINA,A4
1851-3743,ACTA TOXICOLÓGICA ARGENTINA (ONLINE),A4
0001-706X,ACTA TROPICA,A1
0001-7132,ACTA UNIVERSITATIS CAROLINAE. GEOLOGICA,B2
0567-8315,ACTA VETERINARIA (BEOGRAD),A4
1981-5484,ACTA VETERINARIA BRASILICA,B2
0001-7213,ACTA VETERINARIA BRNO (PRINT),B1
1751-0147,ACTA VETERINARIA SCANDINAVICA (ONLINE),A2
0001-723X,ACTA VIROLOGICA (ENGLISH ED.),B3
0001-7272,ACTA ZOOLOGICA (STOCKHOLM),A4
0065-1737,ACTA ZOOLÓGICA MEXICANA,B4
1463-6395,ACTA ZOOLOGICA ONLINE,A4
1850-2032,ACTAS DE DISEÑO,B3
0001-7310,ACTAS DERMO-SIFILIOGRÁFICAS (ED. IMPRESA),B2
1139-9287,ACTAS ESPANÕLAS DE PSIQUIATRÍA,A2
1578-2735,ACTAS ESPAÑOLAS DE PSIQUIATRÍA,A2
0210-4806,ACTAS UROLÓGICAS ESPAÑOLAS,B2
0335-5322,ACTES DE LA RECHERCHE EN SCIENCES SOCIALES,A1
2270-4957,ACTES SÉMIOTIQUES (EN LIGNE),A1
2525-8923,ACTIO: DOCÊNCIA EM CIÊNCIAS,A3
1545-4517,"ACTION, CRITICISM, & THEORY FOR MUSIC EDUCATION",A2
2519-7355,ACTUALIDAD BRICS- BOLETIN DE RELACIONES INTERNACIONALES,B4
0304-3584,ACTUALIDADES BIOLOGICAS,B4
2215-3535,ACTUALIDADES EN PSICOLOGÍA,A4
1409-4703,ACTUALIDADES INVESTIGATIVAS EN EDUCACIÓN,A2
0120-1700,ACTUALIDADES PEDAGÓGICAS,A4
1778-4034,ACTUALITÉS DE LA CONSERVATION,B3
1669-8975,ACTUALIZACIONES EN OSTEOLOGÍA (IMPRESA),B4
2076-0825,ACTUATORS,B2
0718-0179,ACTUEL MARX INTERVENCIONES,B2
0360-1293,ACUPUNCTURE & ELECTRO-THERAPEUTICS RESEARCH,B3
0964-5284,ACUPUNCTURE IN MEDICINE,A2
1983-442X,ACÚSTICA E VIBRAÇÕES,B4
1610-1928,ACUSTICA UNITED WITH ACTA ACUSTICA,A3
1570-8705,AD HOC NETWORKS,A2
2325-0496,ADA,B2
0736-5829,ADAPTED PHYSICAL ACTIVITY QUARTERLY,A2
1543-2777,ADAPTED PHYSICAL ACTIVITY QUARTERLY,A2
0965-2140,ADDICTION (ABINGDON. PRINT),A1
1355-6215,ADDICTION BIOLOGY (PRINT),A1
1606-6359,ADDICTION RESEARCH & THEORY,A2
1940-0640,ADDICTION SCIENCE & CLINICAL PRACTICE,A1
0306-4603,ADDICTIVE BEHAVIORS,A1
2352-8532,ADDICTIVE BEHAVIORS REPORTS,B1
1866-6116,ADHD - ATTENTION DEFICIT AND HYPERACTIVITY DISORDERS,A4
1551-9899,ADHOC & SENSOR WIRELESS NETWORKS,B1
1518-9929,ADM. MADE (UNIVERSIDADE ESTÁCIO DE SÁ),A4
1692-0279,AD-MINISTER,B1
2316-7548,ADMINISTRAÇÃO DE EMPRESAS EM REVISTA,B4
2175-5787,ADMINISTRAÇÃO PÚBLICA E GESTÃO SOCIAL,A4
2177-6083,ADMINISTRAÇÃO: ENSINO E PESQUISA,A3
2500-5227,ADMINISTRACIÓN Y DESARROLLO (VERSÃO DIGITAL),B4
1015-4833,ADMINISTRATIO PUBLICA,A3
0894-587X,ADMINISTRATION AND POLICY IN MENTAL HEALTH,A1
1005-0078,ADMINISTRATIVE LAW REVIEW,B1
0001-8392,ADMINISTRATIVE SCIENCE QUARTERLY,A1
2076-3387,ADMINISTRATIVE SCIENCES,B1
0751-7696,ADOLESCENCE (PARIS),B1
2177-5281,ADOLESCÊNCIA & SAÚDE,B4
1679-9941,ADOLESCÊNCIA & SAÚDE (UERJ),B4
0929-5607,ADSORPTION (BOSTON),A2
0263-6174,ADSORPTION SCIENCE & TECHNOLOGY,B1
0342-7633,ADULT EDUCATION AND DEVELOPMENT,B4
2119-0275,ADVANCED ELECTROMAGNETICS,B1
2199-160X,ADVANCED ELECTRONIC MATERIALS,A2
1474-0346,ADVANCED ENGINEERING INFORMATICS,A1
1438-1656,ADVANCED ENGINEERING MATERIALS (PRINT),A1
1616-301X,ADVANCED FUNCTIONAL MATERIALS (PRINT),A1
2192-2659,ADVANCED HEALTHCARE MATERIALS,A1
1521-4095,ADVANCED MATERIALS (ONLINE),A1
0935-9648,ADVANCED MATERIALS (WEINHEIM PRINT),A1
2196-7350,ADVANCED MATERIALS INTERFACES,A2
1841-4311,ADVANCED MODELLING AND OPTIMIZATION,A4
1536-1365,ADVANCED NONLINEAR STUDIES,A2
2195-1071,ADVANCED OPTICAL MATERIALS,A1
2251-7308,ADVANCED PHARMACEUTICAL BULLETIN,A3
0921-8831,ADVANCED POWDER TECHNOLOGY (PRINT),A2
0169-1864,ADVANCED ROBOTICS (PRINT),A4
2164-6627,"ADVANCED SCIENCE, ENGINEERING AND MEDICINE",B2
1615-4150,ADVANCED SYNTHESIS & CATALYSIS (PRINT),A1
0974-6803,ADVANCES AND APPLICATIONS IN MATHEMATICAL SCIENCES,B4
0065-2113,ADVANCES IN AGRONOMY,A1
1873-9326,"AIR QUALITY, ATMOSPHERE & HEALTH (ONLINE)",A2
1873-9318,"AIR QUALITY, ATMOSPHERE AND HEALTH",A2
1178-6221,"AIR, SOIL AND WATER RESEARCH",B1
2009-3160,AISHE-J,A3
2150-7740,AJOB NEUROSCIENCE,A3
0364-0094,AJS REVIEW,A2
0101-8027,AJURIS (PORTO ALEGRE),B1
1517-5367,AKRÓPOLIS (UNIPAR),B4
2351-8189,AL IRFAN - REVISTA DE CIÊNCIAS HUMANAS E SOCIAIS,B3
2318-3179,ALABASTRO,B3
2171-9624,ALABE,B1
1983-9472,ALBUQUERQUE: REVISTA DE HISTÓRIA,B3
2526-7280,ALBUQUERQUE: REVISTA DE HISTÓRIA,B3
1413-2591,ALCANCE (UNIVALI) (CESSOU EM 2007),A3
2175-7402,ALCEU (ONLINE),B1
0311-5518,ALCHERINGA (SYDNEY),B1
0741-8329,"ALCOHOL (FAYETTEVILLE, N.Y.)",A3
0735-0414,ALCOHOL AND ALCOHOLISM (OXFORD),A1
0145-6008,"ALCOHOLISM, CLINICAL AND EXPERIMENTAL RESEARCH",A2
1980-0436,ALEA (2006. ONLINE),A4
1807-0299,ALEA : ESTUDOS NEOLATINOS (ONLINE),A1
1517-106X,ALEA. ESTUDOS NEOLATINOS,A1
1983-2087,ALETHÉIA (GOIÂNIA),B4
1413-0394,ALETHEIA (ULBRA),A3
2317-2096,ALETRIA: REVISTA DE ESTUDOS DE LITERATURA,A4
1982-5153,ALEXANDRIA (UFSC),A3
1981-5794,ALFA: REVISTA DE LINGUÍSTICA (UNESP. ONLINE),A1
0213-1854,ALFINGE: REVISTA DE FILOLOGÍA,B3
1226-2617,ALGAE,A2
2211-9264,ALGAL RESEARCH,A1
1937-0652,ALGEBRA & NUMBER THEORY,A1
1726-3255,ALGEBRA AND DISCRETE MATHEMATICS,B4
0002-5232,ALGEBRA AND LOGIC,B1
1005-3867,ALGEBRA COLLOQUIUM,B2
0002-5240,ALGEBRA UNIVERSALIS (PRINTED ED.),A4
1472-2739,ALGEBRAIC AND GEOMETRIC TOPOLOGY (ONLINE),A3
1386-923X,ALGEBRAS AND REPRESENTATION THEORY,A3
2158-5571,ALGORITHMIC FINANCE (PRINT),A4
0178-4617,ALGORITHMICA,A3
1432-0541,ALGORITHMICA (NEW YORK. INTERNET),A3
1999-4893,ALGORITHMS,A4
1748-7188,ALGORITHMS FOR MOLECULAR BIOLOGY,A2
0269-2813,ALIMENTARY PHARMACOLOGY & THERAPEUTICS,A1
1365-2036,ALIMENTARY PHARMACOLOGY THERAPEUTICS,A1
0971-4693,ALLELOPATHY JOURNAL,B2
0974-1240,ALLELOPATHY JOURNAL,B2
0301-0546,ALLERGOLOGIA ET IMMUNOPATHOLOGIA (ED. IMPRESA),B3
1440-1592,ALLERGOLOGY INTERNATIONAL,A3
0105-4538,ALLERGY (COPENHAGEN),A1
1088-5412,ALLERGY AND ASTHMA PROCEEDINGS (PRINT),A4
2092-7355,"ALLERGY, ASTHMA & IMMUNOLOGY RESEARCH A2"
1710-1492,"ALLERGY, ASTHMA, AND CLINICAL IMMUNOLOGY (ONLINE) B1"
2182-7265,AL-MADAN ONLINE B3
2236-4633,ALMANACK A1
2526-8066,ALMANAQUE DE CIÊNCIA POLÍTICA B3
2359-6651,ALMANAQUE MULTIDISCIPLINAR DE PESQUISA B1
1982-5617,ALMANAQUE ON-LINE B4
1981-5433,ALMANAQUE UNIGRANRIO DE PESQUISA B3
2036-5195,"ALMATOURISM - JOURNAL OF TOURISM, CULTURE AND TERRITORIAL DEVAEL2"
1737-6432,AL-MUKHATABAT B1
2447-9837,ÁLTERA REVISTA DE ANTROPOLOGIA B1
1390-325X,"ALTERIDAD: REVISTA DE CIENCIAS HUMANAS, SOCIALES Y EDUCACIÓN A2"
1405-339X,ALTERNATIVAS EN PSICOLOGÍA B2
1078-6791,ALTERNATIVE THERAPIES IN HEALTH AND MEDICINE B2
1026-2253,ALTERNATIVES SUD B2
1868-596X,ALTERNATIVES TO ANIMAL EXPERIMENTATION A1
1923-919X,ALTERSTICE - REVUE INTERNATIONALE DE LA RECHERCHE INTERCULTURELBLE4
1120-0413,ALTREITALIE (TORINO) B3
2318-4817,ALTUS CIÊNCIAS B4
2318-3985,ALUMNI B1
0753-4973,ALYTES: INTERNATIONAL JOURNAL OF BATRACHOLOGY B3
0893-0341,ALZHEIMER DISEASE AND ASSOCIATED DISORDERS A1
1552-5260,ALZHEIMER'S & DEMENTIA A1
2352-8737,ALZHEIMER'S & DEMENTIA: TRANSLATIONAL RESEARCH & CLINICAL INTERAV2E
1758-9193,ALZHEIMER'S RESEARCH & THERAPY A1
2406-1654,AM JOURNAL OF ART AND MEDIA STUDIES (ONLINE) B1
0084-5841,"AMA. AGRICULTURAL MECHANIZATION IN ASIA, AFRICA AND LATIN AMERIBC3"
2595-8909,AMAZON BUSINESS RESEARCH B4
2317-5125,AMAZÔNIA - REVISTA DE EDUCAÇÃO EM CIÊNCIAS E MATEMÁTICAS (ONLIAN2E
1809-4058,AMAZÔNIA (BANCO DA AMAZÔNIA. 2005) B3
2322-6307,AMAZONIA INVESTIGA B3
1984-6215,AMAZÔNICA: REVISTA DE ANTROPOLOGIA (IMPRESSO) A2
1517-3127,AMAZÔNIDA (UFAM) B2
2191-0855,AMB EXPRESS A4
1808-0251,AMBIÊNCIA B2
1887-2417,AMBIENTALMENTE SUSTENTABLE B3
2386-4362,AMBIENTALMENTE SUSTENTABLE - REVISTA CIENTÍFICA GALEGO-LUSÓFONBA3
1413-8638,AMBIENTE & EDUCAÇÃO B2
1809-4422,AMBIENTE & SOCIEDADE (ONLINE) A1
1678-8621,AMBIENTE CONSTRUÍDO (ONLINE) A3
1415-8876,AMBIENTE CONSTRUÍDO (SÃO PAULO. IMPRESSO) A3
0121-7607,AMBIENTE Y DESARROLLO B2
0044-7447,AMBIO (OSLO) A1
1988-5733,ÁMBITOS A2
1139-1979,AMBITOS - REVISTA INTERNACIONAL DE COMUNICACIÓN A2
2318-3888,AMBIVALÊNCIAS B2
0002-7014,AMEGHINIANA A3
1851-8044,AMEGHINIANA A3
2532-6724,AMÉRICA CRÍTICA B3
1405-2253,AMERICA LATINA EN LA HISTORÍA ECONÓMICA A2
2107-0806,AMERIKA B2
1506-8900,AMERYKA LACINSKA B1
1438-2199,AMINO ACIDS (WIEN. INTERNET) A2
0719-997X,AMOXTLI B3
1083-446X,AMPHIBIAN & REPTILE CONSERVATION A4
2640-4141,AMPHIBIAN ARK NEWSLETTER B4
1350-6129,AMYLOID (CARNFORTH) A2
2167-8421,AMYOTROPHIC LATERAL SCLEROSIS AND FRONTOTEMPORAL DEGENERATIAO2
0212-9728,AN PSICOL-SPAIN A2
1075-9964,ANAEROBE (LONDON. PRINT) A3
0003-2409,ANAESTHESIA (LONDON. PRINT) A1
1642-5758,ANAESTHESIOLOGY INTENSIVE THERAPY A4
1692-2522,ANAGRAMAS RUMBOS Y SENTIDOS DE LA COMUNICACION A3
1518-6539,"ANAIS ... SIMPÓSIO DE ADMINISTRAÇÃO DA PRODUÇÃO, LOGÍSTICA E OPEBR4"
0365-0596,ANAIS BRASILEIROS DE DERMATOLOGIA (IMPRESSO) B2
0001-3765,ANAIS DA ACADEMIA BRASILEIRA DE CIÊNCIAS (IMPRESSO) A2
1980-0258,ANAIS DA ACADEMIA PERNAMBUCANA DE CIÊNCIA AGRONÔMICA B4
1982-5323,ANAIS DE FILOSOFIA CLÁSSICA (ONLINE) B1
0874-9671,ANAIS DE HISTÓRIA DE ALÉM-MAR A4
2317-0239,ANAIS DO ENCONTRO VIRTUAL DE DOCUMENTAÇÃO EM SOFTWARE LIVREB E1
0303-7762,ANAIS DO INSTITUTO DE HIGIENE E MEDICINA TROPICAL B4
2236-0220,ANAIS DO IV CONGRESSO INTERNACIONAL DE EDUCAÇÃO B3
0101-4714,"ANAIS DO MUSEU PAULISTA: HISTÓRIA, CULTURA E MATERIAL (IMPRESSOA) 2"
0373-9260,ANAIS HIDROGRÁFICOS B4
1948-206X,ANAL PDE A1
2448-0096,ANALECTA B1
2027-7458,ANALECTA POLÍTICA A3
0185-1225,ANALES DE ANTROPOLOGÍA A1
1138-3399,ANALES DE BIOLOGIA A4
1697-7904,ANALES DE DOCUMENTACIÓN (INTERNET) A4
0214-6452,ANALES DE HISTORIA DEL ARTE B1
2301-1505,ANALES DE INVESTIGACIÓN EN ARQUITECTURA A4
1025-5583,ANALES DE LA FACULTAD DE MEDICINA B4
0210-4547,ANALES DE LITERATURA HISPANOAMERICANA B2
1695-4033,ANALES DE PEDIATRÍA (2003. ED. IMPRESA) B2
0328-9796,ANALES DEL INSTITUTO DE ARTE AMERICANO E INVESTIGACIONES ESTÉTICBA4
0211-2337,ANALES DEL SEMINARIO DE HISTORIA DE LA FILOSOFÍA B3
0102-9924,ANÁLISE ECONÔMICA (UFRGS) A3
2525-457X,ANÁLISE ESTRATÉGICA B3
2183-9565,ANÁLISE EUROPÉIA B3
0870-8231,ANÁLISE PSICOLÓGICA A2
0003-2573,ANÁLISE SOCIAL A1
2386-8066,ANÁLISIS (ZARAGOZA. 2014) A4
1696-3466,ANÁLISIS DEL REAL INSTITUTO ELCANO B3
0121-4705,ANÁLISIS POLÍTICO (BOGOTÁ) A1
0925-1030,ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING B1
1678-3468,ANALÓGOS (PUCRJ) B4
0003-2638,ANALYSIS (OXFORD. PRINT) A4
0133-3852,ANALYSIS MATHEMATICA (PRINT) B1
0003-2654,ANALYST (LONDON. 1877. PRINT) A1
2304-1021,ANNALS OF CARDIOTHORACIC SURGERY,A3
2328-9503,ANNALS OF CLINICAL AND TRANSLATIONAL NEUROLOGY (ONLINE),A1
0004-5632,ANNALS OF CLINICAL BIOCHEMISTRY,B1
1476-0711,ANNALS OF CLINICAL MICROBIOLOGY AND ANTIMICROBIALS,A2
1040-1237,ANNALS OF CLINICAL PSYCHIATRY,B2
2287-9714,ANNALS OF COLOPROCTOLOGY.,B2
0218-0006,ANNALS OF COMBINATORICS (PRINT),B1
2198-5812,ANNALS OF DATA SCIENCE,A3
1013-9087,ANNALS OF DERMATOLOGY,A4
1092-9134,ANNALS OF DIAGNOSTIC PATHOLOGY (PRINT),A3
0196-0644,ANNALS OF EMERGENCY MEDICINE,A3
1047-2797,ANNALS OF EPIDEMIOLOGY,A2
1544-1709,ANNALS OF FAMILY MEDICINE,A1
1614-2446,ANNALS OF FINANCE (PRINT),A3
2010-4960,ANNALS OF FINANCIAL ECONOMICS,A4
1844-8135,ANNALS OF FOREST RESEARCH,A3
1286-4560,ANNALS OF FOREST SCIENCE (PRINT),A2
2008-8752,ANNALS OF FUNCTIONAL ANALYSIS,B2
1744-859X,ANNALS OF GENERAL PSYCHIATRY,A4
1593-5213,ANNALS OF GEOPHYSICS,B2
0260-3055,ANNALS OF GLACIOLOGY,A2
0232-704X,ANNALS OF GLOBAL ANALYSIS AND GEOMETRY,A2
2214-9996,ANNALS OF GLOBAL HEALTH,A1
0939-5555,ANNALS OF HEMATOLOGY (PRINT),A4
1665-2681,ANNALS OF HEPATOLOGY,B2
0301-4460,ANNALS OF HUMAN BIOLOGY,A3
0003-4800,ANNALS OF HUMAN GENETICS (PRINT),B2
2110-5820,ANNALS OF INTENSIVE CARE,A1
0003-4819,ANNALS OF INTERNAL MEDICINE,A1
2234-3806,ANNALS OF LABORATORY MEDICINE,B1
2159-6816,ANNALS OF LEISURE RESEARCH (ONLINE),A1
0003-486X,ANNALS OF MATHEMATICS,A1
1012-2443,ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE,A3
2231-0746,ANNALS OF MAXILLOFACIAL SURGERY,B1
0785-3890,ANNALS OF MEDICINE (HELSINKI),A1
2049-0801,ANNALS OF MEDICINE AND SURGERY,A4
1590-4261,ANNALS OF MICROBIOLOGY,A4
0364-5134,ANNALS OF NEUROLOGY,A1
0972-7531,ANNALS OF NEUROSCIENCES,B2
1082-720X,ANNALS OF NONINVASIVE ELECTROCARDIOLOGY,B1
0306-4549,ANNALS OF NUCLEAR ENERGY,A2
0914-7187,ANNALS OF NUCLEAR MEDICINE,A4
0250-6807,ANNALS OF NUTRITION & METABOLISM,A2
2052-4374,ANNALS OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE,B1
1569-8041,ANNALS OF ONCOLOGY,A1
0254-5330,ANNALS OF OPERATION RESEARCH,A3
2224-5820,ANNALS OF PALLIATIVE MEDICINE,A1
2299-0631,ANNALS OF PARASITOLOGY,A2
0974-2069,ANNALS OF PEDIATRIC CARDIOLOGY,B3
2373-9312,ANNALS OF PEDIATRICS & CHILD HEALTH,A1
